# S&P 500 membership history.
#
# Auto-refreshed by quant-sp500-refresh from Wikipedia.
# Last refreshed: 2026-06-04T10:28:31
#
# Columns: symbol, added (first day IN, INCLUSIVE),
#          removed (first day NOT IN, EXCLUSIVE; blank if active).
#
symbol,added,removed
GMCR,2014-03-21,2016-03-07
GME,2007-12-13,2016-04-25
GNRC,2021-03-22,
GNW,,2015-11-18
GOOG,2014-04-03,
GOOGL,2014-04-03,
GPC,1973-12-31,
GPN,2016-04-25,
GPS,,2022-02-03
GR,,2012-07-31
GRA,,2000-12-05
GRMN,2012-12-11,
GRN,,1998-12-11
GS,2002-07-22,
GT,,2019-02-27
GWW,1981-06-30,
HAL,1957-03-04,
HAR,,2017-03-16
HAS,1984-09-30,
HBAN,1997-08-28,
HBI,2015-03-23,2021-12-20
HCA,2015-01-27,
HCBK,,2015-11-02
HD,1988-03-31,
HES,,2025-07-23
HFC,2018-06-18,2021-06-04
HIG,1957-03-04,
HII,2018-01-03,
HLT,2017-06-19,
HNG,,1976-07-01
HNZ,,2013-06-06
HOG,,2020-06-22
HOLX,2016-03-30,2026-04-09
HON,1957-03-04,
HOOD,2025-09-22,
HOT,,2016-09-22
HP,2010-02-26,2020-05-22
HPE,2015-11-02,
HPH,,1999-06-09
HPQ,1974-12-31,
HRB,,2020-09-21
HRL,2009-03-03,
HRS,2008-09-16,
HSIC,2015-03-18,
HSP,,2015-09-02
HST,2007-03-20,
HSY,1957-03-04,
HUBB,2023-10-18,
HUM,2012-12-10,
HWM,2020-04-01,
IBKR,2025-08-28,
IBM,1957-03-04,
ICE,2007-09-26,
IDXX,2017-01-05,
IEX,2019-08-09,
IFF,1976-03-31,
IGT,,2014-06-20
ILMN,2015-11-19,2024-06-24
INCY,2017-02-28,
INFO,2017-06-02,2022-03-02
INTC,1976-12-31,
INTU,2000-12-05,
INVH,2022-09-19,
IP,1957-03-04,
IPG,,2025-11-28
IPGP,2018-03-07,2022-06-21
IQV,2017-08-29,
IR,2020-03-02,
IRM,2009-01-06,
ISRG,2008-06-02,
IT,2017-04-05,
ITT,,2011-10-31
ITW,1986-02-28,
IVZ,2008-08-21,
J,2007-10-26,
JBHT,2015-07-01,
JBL,2023-12-18,
JCI,2010-08-27,
JCP,,2013-12-02
JDSU,2000-07-27,2013-12-23
JEC,2007-10-26,
JEF,,2019-09-26
JKHY,2018-11-13,
JNJ,1973-06-30,
JNPR,2006-06-02,2025-07-09
JNS,,2011-11-18
JNY,,2009-03-03
JOY,,2015-10-07
JOYG,2011-02-25,
JPM,1975-06-30,
JWN,,2020-06-22
K,,2025-12-11
KBH,,2009-12-18
KDP,2022-06-21,
KEY,1994-03-01,
KEYS,2018-11-06,
KFT,2007-03-30,2012-10-02
KG,,2010-12-17
KHC,2015-07-06,
KIM,2006-04-04,
KKR,2024-06-24,
KLAC,1997-09-30,
KMB,1957-03-04,
KMI,2012-05-17,
KMX,2010-06-28,2025-10-31
KO,1957-03-04,
KORS,2013-11-13,
KR,1957-03-04,
KRFT,2012-10-02,2015-07-06
KSE,,2007-08-24
KSS,,2020-09-21
KSU,2013-05-23,2021-12-14
KVUE,2023-08-25,
L,1995-05-31,
LDOS,2019-08-09,
LDW,,1999-12-08
LEG,,2021-12-20
LEH,,2008-09-16
LEN,2005-10-04,
LH,2004-11-01,
LHX,2008-09-22,
LIFE,,2014-01-24
LII,2024-12-23,
LIN,1992-07-01,
LITE,2026-03-23,
LKQ,2016-05-23,2025-12-22
LLL,,2019-07-01
LLTC,,2017-03-13
LLY,1970-12-31,
LM,,2016-12-02
LMT,1957-03-04,
LNC,,2023-09-18
LNT,2016-07-01,
LO,2008-06-10,2015-06-11
LOW,1984-02-29,
LRCX,2012-06-05,
LSI,,2014-05-08
LUK,2007-08-24,
LULU,2023-10-18,
LUMN,,2023-03-20
LUV,1994-07-01,
LVLT,2014-11-05,2017-10-13
LVS,2019-10-03,
LW,2018-12-03,2026-03-23
LXK,,2012-10-01
LYB,2012-09-05,
LYV,2019-12-23,
M,,2020-04-06
MA,2008-07-18,
MAA,2016-12-02,
MAC,2013-05-08,2019-12-23
MAR,1998-05-29,
MAS,1981-06-30,
MAT,,2019-06-07
MBC,2022-12-15,2022-12-19
MBI,,2009-12-18
MCD,1970-06-30,
MCHP,2007-09-07,
MCO,1998-07-01,
MDLZ,2012-10-02,
MDP,,2011-01-03
MDT,1986-10-31,
MEE,2008-06-23,2011-06-01
MET,2000-12-11,
META,2013-12-23,
MFE,,2011-02-28
MGM,2017-07-26,
MHK,2013-12-23,2025-12-22
MHS,,2012-04-03
MI,,2011-07-05
MIL,,2010-07-14
MJN,2009-12-18,2017-06-19
MKC,2003-03-20,
MKTX,2019-07-01,2025-09-22
MLM,2014-07-02,
MMI,2011-01-03,2012-05-21
MMM,1957-03-04,
MNK,2014-08-18,2017-07-26
MNST,2012-06-29,
MO,1957-03-04,
MOH,2022-03-02,2026-03-23
MOLX,,2013-12-10
MON,,2018-06-07
MOS,2011-09-23,
MPC,2011-06-30,
MPWR,2021-02-12,
MRK,1957-03-04,
MRNA,2021-07-21,
MRO,,2024-11-26
MRSH,1987-08-31,
MS,1993-07-29,
MSCI,2018-04-04,
MSFT,1994-06-01,
MSI,1957-03-04,
MTB,2004-02-23,
MTCH,2021-09-20,2026-03-23
MTD,2016-09-06,
MU,1994-09-27,
MUR,,2017-07-26
MWW,,2011-12-16
MXIM,2018-12-03,2021-08-30
NAVI,2014-05-01,2018-06-05
NBL,,2020-10-12
NBR,,2015-03-23
NCC,1994-09-30,
NCLH,2017-10-13,
NCR,,2007-10-01
NDAQ,2008-10-22,
NDSN,2022-02-15,
NE,,2015-07-20
NEE,1976-06-30,
NEM,1969-06-30,
NFLX,2010-12-17,
NFX,2010-12-17,2019-02-15
NI,2000-11-02,
NKE,1988-11-30,
NKTR,2018-03-19,2019-10-03
NLSN,2013-07-08,2022-10-12
NOC,1957-03-04,
NOV,,2021-09-20
NOVL,,2011-04-27
NOW,2019-11-21,
NRG,2010-01-29,
NSC,1957-03-04,
NSM,,2011-09-23
NTAP,1999-06-25,
NTRS,1998-01-30,
NUE,1985-04-30,
NVDA,2001-11-30,
NVLS,,2012-06-05
NVR,2019-09-26,
NWL,,2023-09-18
NWS,2015-09-18,
NWSA,2013-07-01,
NXPI,2021-03-22,
NYT,,2010-12-17
NYX,,2013-11-13
O,2015-04-07,
ODFL,2019-12-09,
ODP,,2010-12-17
OGN,2021-06-03,2023-10-18
OI,2008-12-31,2016-12-02
OKE,2010-03-15,
OMC,1997-12-31,
OMX,,2008-06-23
ON,2022-06-21,
ORCL,1989-08-31,
ORLY,2009-03-27,
OTIS,2020-04-03,
OXY,1957-03-04,
PANW,2023-06-20,
PAYC,2020-01-28,2026-03-23
PAYX,1998-10-01,
PBCT,,2022-04-04
PBI,,2017-03-01
PCAR,1980-12-31,
PCG,2022-10-03,
PCL,,2016-02-22
PCLN,2009-11-03,
PCP,,2016-02-01
PCS,2009-06-29,2013-04-30
PDCO,,2018-03-19
PEG,1957-03-04,
PENN,2021-03-22,2022-09-19
PEP,1957-03-04,
PETM,2012-10-10,2015-03-12
PFE,1957-03-04,
PFG,2002-07-22,
PG,1957-03-04,
PGN,,2012-07-02
PGR,1997-08-04,
PH,1985-11-30,
PHM,1984-04-30,
PKG,2017-07-26,
PLD,2003-07-17,
PLL,,2015-08-28
PLTR,2024-09-23,
PM,2008-03-31,
PNC,1988-04-30,
PNR,2012-10-01,
PNW,1999-10-04,
PODD,2023-03-15,
POM,,2016-03-30
POOL,2020-10-07,
PPG,1957-03-04,
PPL,2001-10-01,
PRGO,2011-12-16,2021-09-20
PRU,2002-07-22,
PSA,2005-08-19,
PSKY,1994-09-30,
PSX,2012-04-23,
PTC,2021-04-20,
PTV,,2010-11-17
PVH,2013-02-15,2022-09-19
PWR,2009-07-01,
PXD,,2024-05-08
PYPL,2015-07-20,
Q,2025-11-03,
QCOM,1999-07-22,
QEP,2010-06-30,2015-07-01
QRVO,2015-06-11,2024-12-23
QTRN,,2003-09-25
R,,2017-06-19
RAD,,2000-07-27
RAI,,2017-07-26
RCL,2014-12-05,
RDC,,2014-08-18
RE,2017-06-19,
REG,2017-03-02,
REGN,2013-04-30,
RF,1998-08-28,
RHI,,2024-06-24
RHT,,2019-07-15
RIG,2013-10-29,2017-07-26
RJF,2017-03-20,
RL,2007-02-02,
RMD,2017-07-26,
ROK,2000-03-12,
ROL,2018-10-01,
ROP,2009-12-23,
ROST,2009-12-18,
RRC,2007-12-20,2018-06-18
RRD,,2012-12-11
RSG,2008-12-05,
RSH,,2011-06-30
RTN,,2020-04-06
RTX,1957-03-04,
RVTY,1985-05-31,
RX,,2010-02-26
S,,2013-07-08
SAI,2009-12-18,2013-09-20
SATS,2026-03-23,
SBAC,2017-09-01,
SBL,2000-12-05,2007-01-10
SBNY,2021-12-20,2023-03-15
SBUX,2000-06-07,
SCG,,2019-01-02
SCHW,1997-06-02,
SE,,2017-02-28
SEDG,2021-12-20,2023-12-18
SEE,,2023-12-18
SGP,,2009-11-03
SHLD,,2012-09-05
SHW,1964-06-30,
SIAL,,2015-11-19
SIG,2015-07-29,2018-03-19
SII,,2010-08-26
SIVB,2018-03-19,2023-03-15
SJM,2008-11-06,
SLB,1957-03-04,
SLE,,2012-06-29
SLG,2015-03-23,2021-03-22
SLM,,2014-05-01
SLR,,2007-10-02
SMCI,2024-03-18,
SMS,,2000-06-07
SNA,1982-09-30,
SNDK,2025-11-28,
SNI,,2018-03-07
SNPS,2017-03-16,
SO,1957-03-04,
SOLS,2025-10-30,2025-12-22
SOLV,2024-04-01,
SPG,2002-06-26,
SPGI,1957-03-04,
SPLS,,2017-09-18
SRCL,,2018-12-03
SRE,2017-03-17,
STE,2019-12-23,
STI,,2019-12-09
STJ,,2017-01-05
STLD,2022-12-22,
STR,,2010-06-30
STT,2003-03-14,
STX,2012-07-02,
STZ,2005-07-01,
SUN,,2012-10-10
SVU,,2012-04-23
SW,2024-07-08,
SWK,1982-09-30,
SWKS,2015-03-12,
SWN,,2017-04-04
SWY,,2015-01-27
SYF,2015-11-18,
SYK,2000-12-12,
SYY,1986-12-31,
T,1983-11-30,2005-11-18
TAP,1976-06-30,
TDC,2007-10-01,2017-06-19
TDG,2016-06-03,
TDY,2020-06-22,
TE,,2016-07-01
TECH,2021-08-30,
TEG,,2015-07-01
TEL,2011-10-14,
TER,2020-09-21,
TFC,1997-12-04,
TFX,2019-01-18,2025-03-24
TGNA,,2017-06-02
TGT,1976-12-31,
THC,,2016-04-18
TIE,,2012-12-21
TIF,,2021-01-07
TJX,1985-09-30,
TKO,2025-03-24,
TLAB,,2011-12-20
TMC,,2000-06-12
TMO,2004-08-03,
TMUS,2019-07-15,
TPL,2024-11-26,
TPR,2004-09-01,
TRB,,2007-12-20
TRGP,2022-10-12,
TRIP,2011-12-20,2019-12-23
TRMB,2021-01-21,
TROW,2019-07-29,
TRV,2002-08-21,
TSCO,2014-01-24,
TSG,,2007-03-30
TSLA,2020-12-21,
TSN,2005-08-10,
TSO,2007-09-27,
TSS,,2019-09-23
TT,2010-11-17,
TTD,2025-07-18,
TTWO,2018-03-19,
TWC,,2016-05-18
TWTR,2018-06-07,2022-11-01
TWX,,2018-06-20
TXN,2001-03-12,
TXT,1978-12-31,
TYC,2010-08-26,2016-09-06
TYL,2020-06-22,
UA,2016-04-08,2022-06-21
UAA,,2022-06-21
UAL,2015-09-02,
UBER,2023-12-18,
UDR,2016-03-07,
UHS,2014-09-20,
ULTA,2016-04-18,
UNH,1994-07-01,
UNM,,2021-09-20
UNP,1957-03-04,
UPS,2002-07-22,
URBN,,2017-03-20
URI,2014-09-20,
USB,1999-11-01,
USL,,1997-06-17
V,2009-12-18,
VAR,,2021-04-20
VEEV,2026-05-07,
VFC,,2024-04-03
VIAB,,2019-12-05
VICI,2022-06-08,
VLO,2002-12-20,
VLTO,2023-10-02,
VMC,1999-06-30,
VNO,,2023-01-05
VNT,2020-10-09,2021-03-22
VRSK,2015-10-07,
VRSN,2006-02-01,
VRT,2026-03-23,
VRTX,2013-09-20,
VST,2024-05-08,
VTR,2009-03-03,
VTRS,2004-04-23,
VZ,1983-11-30,
WAB,2019-02-27,
WAT,2002-01-02,
WB,,2008-12-31
WBA,,2025-08-28
WBD,2022-04-11,
WCG,2018-09-14,2020-01-28
WDAY,2024-12-23,
WDC,2009-07-01,
WEC,2008-10-31,
WELL,2009-01-30,
WFC,1976-06-30,
WFM,,2017-08-29
WFR,,2011-12-16
WHR,,2024-03-18
WIN,,2015-04-07
WLP,1999-06-09,
WLTW,2016-01-05,
WM,1998-08-31,
WMB,1975-03-31,
WMT,1982-08-31,
WPX,2011-12-31,2014-03-21
WRB,2019-12-05,
WSM,2025-03-24,
WST,2020-05-22,
WTW,2016-01-05,
WU,,2021-12-20
WY,1979-10-01,
WYN,,2018-05-31
WYNN,2008-11-14,
X,,2014-07-02
XEC,2014-06-20,2020-03-02
XEL,1957-03-04,
XL,,2018-09-14
XLNX,,2022-02-15
XOM,1957-03-04,
XRAY,,2024-04-03
XRX,,2021-03-22
XTO,,2010-06-28
XYL,2011-10-31,
XYZ,2025-07-23,
YHOO,1999-12-08,2017-06-19
YUM,1997-10-06,
ZBH,2001-08-07,
ZBRA,2019-12-23,
ZION,,2024-03-18
ZTS,2013-06-21,
